date,kw/hr,Daily Consumption,KVA/Hr,MD KVA,Cummulative Consumption
01/01/14,617.4,6960,620.8,705.6,24960
01/02/14,620.9,4200,624.4,705.6,29160
01/03/14,627.4,7800,630.9,720,36960
01/04/14,633.7,7560,637.2,751.2,44520
01/05/14,637.1,4080,640.7,751.2,48600
01/06/14,639.4,2760,643.2,751.2,51360
01/07/14,645.7,7560,649.4,751.2,58920
01/08/14,652.5,8160,656,751.2,67080
01/09/14,658.3,6960,662.1,751.2,74040
01/10/14,665.5,8640,669.3,751.2,82680
01/11/14,672.7,8640,676.6,751.2,91320
01/12/14,677.6,5880,681.6,818.4,97200
01/13/14,680.5,3480,684.5,818.4,100680
01/14/14,683.5,3600,687.6,818.4,104280
01/15/14,685.6,2520,689.8,818.4,106800
01/16/14,687.9,2760,692.2,818.4,109560
01/17/14,690.5,3120,694.8,818.4,112680
01/18/14,694.2,4440,698.6,818.4,117120
01/19/14,696.6,2880,701,818.4,120000
01/20/14,698.6,2400,703.1,818.4,122400
01/21/14,705,7680,709.5,818.4,130080
01/22/14,711.6,7920,715.8,818.4,138000
01/23/14,718,7680,722.8,818.4,145680
01/24/14,705.6,9120,730.2,818.4,154800
01/25/14,731.9,7560,736.5,818.4,162360
01/26/14,734.1,2640,738.7,818.4,165000
01/27/14,736.6,3000,741.2,818.4,168000
01/28/14,744.9,1320,749.7,818.4,177960
01/28/14,743.8,2640,748.5,818.4,176640
01/29/14,750.2,6360,755,756,6360
01/29/14,750.2,6360,755,756,6360
01/30/14,756.5,7500,761.3,756,13920
01/30/14,756.5,7500,761.3,756,13920
01/31/14,763.7,8640,768.5,756,22560
01/31/14,763.7,8640,768.5,756,22560
02/01/14,770.2,7800,775.1,756,30960
02/02/14,773.9,4440,779,756,34800
02/03/14,776.7,3360,781.8,756,38160
02/04/14,783.5,5160,788.6,756,46320
02/05/14,790.5,5400,795.7,780,54720
02/06/14,797.6,8520,802.8,780,63240
02/07/14,804.2,7920,809.3,780,71160
02/08/14,810.9,8040,816.2,780,79200
02/09/14,816.3,6480,821.6,780,85980
02/10/14,818.6,3000,824.2,780,88680
02/11/14,825,7440,830.3,818.4,96100
02/12/14,831.7,8040,837.1,818.4,104160
02/13/14,839.3,9120,844.7,818.4,113080
02/14/14,846.9,9120,852.3,818.4,122400
02/15/14,854.6,9240,860,818.4,131640
02/16/14,859.5,5880,865,818.4,137520
02/17/14,862.2,3240,867.8,818.4,140760
02/18/14,869.6,8880,875.2,818.4,149640
02/19/14,877.6,9600,883.2,830.4,159240
02/20/14,885.1,9000,889.7,830.4,168240
02/21/14,893.4,9960,899.1,832.8,178200
02/22/14,901.5,9720,907.2,861.6,187920
02/23/14,907.9,7680,913.6,861.6,195600
02/24/14,911.5,4320,917.3,861.6,199920
02/25/14,919.5,9600,925.4,895.2,209520
02/26/14,927.8,9960,933.7,897.6,279480
02/27/14,935.1,8760,941.1,897.6,228240
02/28/14,943.5,8040,949.5,897.6,238350
02/28/14,941.8,8040,947.7,897.6,236280
02/28/14,2782,600,2810.3,876,198480
03/01/14,949.5,7200,955.5,854.4,7200
03/02/14,954.3,5760,960.3,854.4,12960
03/03/14,957.8,4200,964,854.4,17160
03/04/14,965.4,9120,971.6,876,26280
03/05/14,973.2,9360,979.2,892.8,35640
03/06/14,981.4,10200,987.5,892.8,45840
03/07/14,990.4,10440,996.6,938.4,56280
03/08/14,998.5,9720,1004.7,938.4,66000
03/09/14,1004.6,7350,1010.3,938.4,73320
03/10/14,1008,4080,1014.3,938.4,77400
03/11/14,1016.8,10560,1023.1,938.4,87960
03/12/14,1023.5,8040,1029.9,938.4,96000
03/13/14,1030,8380,1037.3,938.4,104880
03/14/14,1037.9,8400,1044.3,938.4,113280
03/15/14,1045,8520,1051.4,938.4,121800
03/16/14,1048.8,4560,1055.2,938.4,126360
03/17/14,1051.5,3240,1058.1,938.4,129600
03/18/14,1058.8,8760,1065.4,938.4,138360
03/19/14,1066.5,9240,1073.1,938.4,147600
03/20/14,1074.5,9600,1081.1,938.4,157200
03/21/14,1082.3,9360,1089,938.4,166560
03/22/14,1089.2,8280,1095.9,960,174850
03/23/14,1095.5,7560,1102.3,960,182400
03/24/14,1098.9,4080,1105.8,976.8,186480
03/25/14,1107.3,10080,1114.3,976.8,196560
03/26/14,1114.7,8880,1121.8,976.8,205440
03/27/14,1122.3,9420,1129.3,976.8,214560
03/28/14,1130.9,2160,1138.4,976.8,224880
03/28/14,1129.1,2160,1136.2,976.8,222720
03/29/14,1136.9,7200,1144,900,7200
03/30/14,1142,6120,1149.2,900,13320
03/31/14,1144.9,3480,1152.2,900,16200
04/01/14,1148,3720,1155.4,900,20520
04/02/14,1157.2,11040,1164.6,902.4,31560
04/03/14,1163.3,7320,1170.8,902.4,38880
04/04/14,1170.1,8160,1177.7,902.4,47040
04/05/14,1176.5,7680,1184.1,902.4,54720
04/06/14,1179.7,3840,1187.3,902.4,58560
04/07/14,1182.6,3480,1190.5,902.4,62040
04/08/14,1189.3,8040,1197.2,902.4,70080
04/09/14,1197.3,9600,1205.5,902.4,79680
04/10/14,1205.2,9480,1213.3,902.4,89160
04/11/14,1213,9360,1221.2,902.4,98520
04/12/14,1220.2,8640,1228.4,902.4,107160
04/13/14,1225.2,6000,1233.5,902.4,113160
04/14/14,1227.6,2880,1236,940.8,116040
04/15/14,1230.1,3000,1238.5,940.8,119040
04/16/14,1237.9,9360,1246.3,940.8,128400
04/17/14,1245.1,8640,1253.6,940.8,137040
04/18/14,1252.8,9240,1261.3,940.8,146280
04/19/14,1256.9,4920,1265.5,940.8,151200
04/20/14,1260.5,4920,1269.1,940.8,155520
04/21/14,1263.2,3240,1271.9,940.8,158760
04/22/14,1270.7,9000,1279.5,952.8,167760
04/23/14,1277.2,7800,1286.1,952.8,175560
04/24/14,1282.8,6720,1291.7,952.8,182280
04/25/14,1285.3,3000,1294.3,952.8,185280
04/26/14,1297.9,7920,1301,952.8,193200
04/27/14,1298.4,5400,1305.5,952.8,198600
04/28/14,1300.2,960,1309.4,952.8,203160
04/28/14,1299.4,3600,1308.6,952.8,202200
04/29/14,1305.8,6720,1315,856.8,6720
04/30/14,1313.2,8880,1322.5,885.6,15600
05/01/14,1317.6,5280,1326.9,885.6,20880
05/02/14,1320.9,3960,1330.5,885.6,24840
05/03/14,1326.4,6600,1335.9,885.6,31440
05/04/14,1330,4320,1339.6,885.6,35760
05/05/14,1332.5,3000,1342,885.6,38760
05/06/14,1339.4,8280,1349,885.6,47040
05/07/14,1345.6,7440,1355.3,885.6,54480
05/08/14,1351.6,7200,1367.3,885.6,61680
05/09/14,1357,6480,1366.6,885.6,68160
05/10/14,1361.9,5880,1371.6,885.6,74040
05/11/14,1365.8,4680,1375.5,885.6,78720
05/12/14,1367.9,2520,1377.7,885.6,81240
05/13/14,1373.5,6720,1383.3,885.6,87960
05/14/14,1378.9,6480,1388.7,885.6,94440
05/15/14,1383.8,5880,1393.7,885.6,109320
05/16/14,1389.2,6480,1399.1,885.6,106800
05/17/14,1393.7,5400,1403.6,885.6,112200
05/18/14,1396.8,3720,1406.8,885.6,115920
05/19/14,1398.9,2520,1409,885.6,118440
05/20/14,1401.4,5400,1413.6,885.6,123840
05/21/14,1407.4,5400,1418.1,885.6,129240
05/22/14,1410.5,3120,1420.7,885.6,132360
05/23/14,1415.5,5880,1425.7,885.6,138240
05/24/14,1420.6,6240,1430.9,885.6,144480
05/25/14,1424.7,4920,1435.1,885.6,149400
05/26/14,1426.8,2520,1437.3,885.6,151920
05/27/14,1431.3,5400,1441.9,885.6,157320
05/28/14,1435.6,5160,1446.2,885.6,162480
05/29/14,1440.3,5640,1451,571.2,5640
05/30/14,1444.6,5160,1455.3,571.2,10800
05/31/14,1449,5280,1459.8,571.2,16080
06/01/14,1452.8,4560,1463.6,571.2,20640
06/02/14,1455.1,2760,1466,571.2,23400
06/03/14,1459.3,5040,1470.1,571.2,28440
06/04/14,1463.5,5040,1474.4,571.2,33480
06/05/14,1467.6,4920,1478.6,571.2,38400
06/06/14,1469.8,2640,1480.8,571.2,41040
06/07/14,1474.5,5640,1485.5,571.2,46680
06/08/14,1477.4,3480,1488.6,571.2,50160
06/09/14,1479.8,2880,1491.2,571.2,53040
06/10/14,1484.2,5280,1495.7,571.2,58320
06/11/14,1489.3,6120,1500.7,571.2,64440
06/12/14,1494.2,5880,1505.8,571.2,70320
06/13/14,1499,5760,1510.6,571.2,76080
06/14/14,1504.4,6480,1516.1,571.2,82560
06/15/14,1508.7,5160,1520.4,571.2,87720
06/16/14,1511.5,3000,1523,571.2,90720
06/17/14,1516,5760,1527.9,571.2,96480
06/18/14,1522.7,8040,1534.6,770.4,104520
06/19/14,1529.9,8640,1541.8,770.4,113160
06/20/14,1537.1,8640,1549.2,770.4,121800
06/21/14,1543.7,7920,1455.8,832.8,129720
06/22/14,1547,3960,1559.3,832.8,133680
06/23/14,1549.7,3440,1562.1,832.8,136920
06/24/14,1557.3,9120,1569.8,832.8,146040
06/25/14,1564,8760,1577.1,832.8,154800
06/26/14,1571.2,7920,1583.6,832.8,162720
06/27/14,1573.8,3120,1586.4,832.8,165840
06/28/14,1581.2,1320,1593.9,832.8,174720
06/28/14,1580.1,7560,1592.8,832.8,179400
06/29/14,1585.7,5400,1598.5,643.2,5400
06/30/14,1588.4,3240,1601.3,643.2,8640
07/01/14,1595.4,8520,1608.4,643.2,17160
07/02/14,1602.8,8760,1615.8,902.4,25920
07/03/14,1609.1,7560,1622.2,902.4,33480
07/04/14,1615.5,7680,1628.7,902.4,41160
07/05/14,1622.4,8280,1695.6,902.4,49440
07/06/14,1625.4,3600,1638.7,902.4,53040
07/07/14,1627.7,2760,1641,902.4,55800
07/08/14,1634.7,8400,1648.1,902.4,64200
07/09/14,1641.5,8160,1655,902.4,72360
07/10/14,1648.6,8520,1661.5,902.4,80880
07/11/14,1655.4,8160,1669,902.4,89040
07/12/14,1662.2,8160,1675.8,902.4,97200
07/13/14,1667.1,5880,1680.8,902.4,103080
07/14/14,1670.3,3840,1684.1,902.4,106920
07/15/14,1676.5,7440,1690.3,902.4,114360
07/16/14,1683.2,8040,1697.1,902.4,122400
07/17/14,1689.8,7920,1703.7,902.4,130320
07/18/14,1696.3,7730,1710.3,902.4,138120
07/19/14,1702.6,7560,1716.7,902.4,145680
07/20/14,1705.7,3720,1719.8,902.4,149400
07/21/14,1708.6,3480,1722.8,902.4,152880
07/22/14,1715.7,8520,1730,902.4,161400
07/23/14,1723.1,8880,1797.4,902.4,170280
07/24/14,1729.9,8160,1744.4,902.4,178440
07/25/14,1736.6,8040,1751.1,902.4,186480
07/26/14,1743,7680,1757.6,902.4,194160
07/27/14,1747.4,5280,1762.1,902.4,199440
07/28/14,1750.3,360,1765.1,902.4,202920
07/28/14,1750,3120,1764.7,902.4,202560
07/29/14,1755.6,6360,1770,672,6360
07/30/14,1759.2,4320,1774,672,18680
07/31/14,1766.1,8280,1781,672,18960
08/01/14,1773,8280,1787.9,672,27240
08/02/14,1778.5,6600,1693.5,672,33840
08/03/14,1781.9,4080,1796.9,844.8,37920
08/04/14,1784.3,2880,1799.5,844.8,40800
08/05/14,1789.9,6720,1805.2,844.8,47520
08/06/14,1795.2,6360,1810.6,844.8,53880
08/07/14,1800.8,6720,1816.2,844.8,60600
08/08/14,1807.3,7800,1822.8,844.8,68400
08/09/14,1813.3,7200,1828.9,844.8,75600
08/10/14,1817.2,4680,1832.1,844.8,80280
08/11/14,1820.2,3600,1836.1,844.8,83880
08/12/14,1826.1,7080,1842,844.8,90960
08/13/14,1831.9,6960,1848,844.8,97920
08/14/14,1838.3,7680,1854.5,844.8,105600
08/15/14,1843.6,6360,1859.8,866.4,111960
08/16/14,1845.9,2760,1862.1,866.4,114720
08/17/14,1848.3,2880,1864.8,878.4,117600
08/18/14,1850.8,3000,1867.3,878.4,120600
08/19/14,1857.6,8160,1874.2,878.4,128760
08/20/14,1840,7680,1880.7,878.4,136440
08/21/14,1870.7,8040,1889.5,878.4,144480
08/22/14,1877.9,8640,1894.8,878.4,153120
08/23/14,1884.7,8160,1901.7,1017.6,161280
08/24/14,1887.7,3600,1904.7,1017.6,164880
08/25/14,1890.1,2880,1907.3,1017.6,167760
08/26/14,1897.5,8880,1914.7,1017.6,176640
08/27/14,1904.3,8160,1921.7,1017.6,184800
08/28/14,1911.4,1200,1928.9,1017.6,193320
08/28/14,1910.4,7320,1927.9,1017.6,192120
08/28/14,2207.1,1560,2030.4,1008,190800
08/29/14,1916.5,6120,1934.1,1008,6360
08/30/14,1919.5,3600,1937.2,672,10960
08/31/14,1923.0 ,4200,1949.9,672,18960
09/01/14,1925.4,2880,1943.4,672,27240
09/02/14,1931.8,7680,1949.9,672,33840
09/03/14,1938.5,7800,1956.4,672,37920
09/04/14,1944.8,7800,1963.0 ,878.4,40800
09/05/14,1951.2,7680,1969.4,878.4,47520
09/06/14,1956.8,6720,1975.1,878.4,53880
